nameWithOwner,createdAt,stargazerCount,commitCount
facebookarchive/stetho,2015-01-22T22:34:10Z,12666,0
greenrobot/greenDAO,2011-10-22T16:15:14Z,12608,1
theonedev/onedev,2018-11-06T02:57:01Z,12600,685
projectlombok/lombok,2009-06-08T19:46:41Z,12546,270
zhihu/Matisse,2017-04-13T01:31:05Z,12486,0
daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12391,0
neo4j/neo4j,2012-11-12T08:46:15Z,12359,3182
google/guice,2014-05-28T23:18:53Z,12326,84
janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,12250,1
Netflix/eureka,2012-07-26T22:23:07Z,12187,18
DuGuQiuBai/Java,2015-11-25T07:30:08Z,12156,0
pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,12035,58
chat2db/Chat2DB,2023-06-20T14:05:26Z,11939,3399
zaproxy/zaproxy,2015-06-03T16:55:01Z,11909,581
apache/dolphinscheduler,2019-03-01T16:39:25Z,11901,687
apache/zookeeper,2009-03-27T15:41:56Z,11891,109
supertokens/supertokens-core,2020-01-05T13:30:52Z,11794,340
pxb1988/dex2jar,2015-03-16T09:13:07Z,11779,25
Tencent/VasSonic,2017-08-01T08:35:13Z,11773,0
Yalantis/uCrop,2016-01-05T13:41:06Z,11745,17
itwanger/toBeBetterJavaer,2018-11-08T00:35:56Z,11676,383
redis/jedis,2010-06-11T13:04:43Z,11573,261
languagetool-org/languagetool,2013-08-08T16:37:22Z,11483,12673
frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,11436,0
realm/realm-java,2012-04-20T09:18:42Z,11435,83
Tencent/matrix,2018-12-11T07:08:02Z,11354,64
macrozheng/mall-swarm,2019-11-25T06:55:31Z,11274,16
permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11207,0
code4craft/webmagic,2013-04-23T12:57:36Z,11207,43
gyf-dev/ImmersionBar,2017-04-19T05:10:09Z,11127,0
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0
alibaba/COLA,2018-02-06T13:46:27Z,11117,37
grpc/grpc-java,2014-12-08T19:00:00Z,11117,602
jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11097,0
androidannotations/androidannotations,2012-01-06T08:48:03Z,11082,0
mission-peace/interview,2014-07-20T21:27:31Z,10984,0
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10981,0
lingochamp/FileDownloader,2015-12-22T11:17:16Z,10947,0
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10839,41
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0
daniulive/SmarterStreaming,2016-03-26T14:46:02Z,10793,6
newbee-ltd/newbee-mall,2019-09-21T03:56:04Z,10762,4
metersphere/metersphere,2020-02-03T02:06:12Z,10746,3635
square/javapoet,2013-02-01T16:56:30Z,10667,50
android-async-http/android-async-http,2011-02-20T03:25:07Z,10641,0
apereo/cas,2011-09-09T01:36:42Z,10599,2580
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10587,0
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,10570,149569
cryptomator/cryptomator,2014-02-02T00:43:47Z,10564,1062
jhy/jsoup,2009-12-19T01:29:58Z,10564,268
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10479,0
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10462,0
OpenRefine/OpenRefine,2012-10-15T02:22:48Z,10414,710
google/auto,2013-05-22T21:41:56Z,10347,273
clojure/clojure,2010-06-29T20:03:33Z,10268,71
JessYanCoding/MVPArms,2016-08-06T08:49:56Z,10257,0
TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,10253,40
vipshop/vjtools,2018-05-29T09:07:08Z,7598,0
gedoor/MyBookshelf,2018-06-12T03:48:07Z,7523,0
junixapp/XPopup,2018-12-07T06:16:48Z,7518,13
koush/AndroidAsync,2012-08-24T07:27:04Z,7491,0
CatVodTVOfficial/TVBoxOSC,2022-06-23T00:40:29Z,7455,0
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,7356,951
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7321,0
square/dagger,2012-08-02T23:25:32Z,7315,0
pentaho/pentaho-kettle,2013-10-08T18:27:11Z,7309,450
flowable/flowable-engine,2016-10-13T07:21:43Z,7309,342
yuanguangxin/LeetCode,2020-01-11T01:02:02Z,7303,4
Tencent/Shadow,2019-06-13T10:50:27Z,7277,14
pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7254,0
apache/tomcat,2011-10-01T07:00:19Z,7244,1444
crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7235,0
bytedeco/javacv,2014-04-21T13:50:26Z,7232,18
cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7226,0
software-mansion/react-native-svg,2016-01-17T14:29:21Z,7202,96
conductor-oss/conductor,2023-12-08T06:06:09Z,7178,381
apache/seatunnel,2017-08-05T09:14:47Z,7160,1140
lenve/VBlog,2017-12-26T11:01:55Z,7126,0
Exrick/xmall,2017-07-28T01:49:49Z,7100,0
ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,7076,0
gocd/gocd,2013-12-13T05:26:16Z,7022,3080
Graylog2/graylog2-server,2010-05-17T21:27:02Z,7013,2872
twowaits/SDE-Interview-Questions,2017-10-25T11:08:52Z,6971,0
react-native-video/react-native-video,2015-03-31T05:08:38Z,6929,374
hongyangAndroid/okhttputils,2015-08-17T14:53:29Z,6882,0
DroidPluginTeam/DroidPlugin,2015-08-27T11:14:57Z,6861,0
NanoHttpd/nanohttpd,2012-08-10T21:52:42Z,6817,0
mapstruct/mapstruct,2012-05-28T12:42:42Z,6756,78
didi/KnowStreaming,2020-03-19T05:13:51Z,6707,163
Meituan-Dianping/walle,2017-01-10T03:39:25Z,6699,0
google/error-prone,2014-08-21T23:26:50Z,6699,461
Angel-ML/angel,2017-04-25T05:57:43Z,6696,0
hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6682,0
MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6630,309
markzhai/AndroidPerformanceMonitor,2016-01-17T05:23:22Z,6624,0
Alluxio/alluxio,2012-12-21T17:43:46Z,6618,1129
yanzhenjie/AndPermission,2016-09-11T05:17:34Z,6615,0
mrniko/netty-socketio,2012-01-12T11:43:49Z,6607,153
alibaba/jvm-sandbox,2017-08-03T02:55:31Z,6565,24
apache/storm,2013-11-05T08:00:14Z,6525,273
h2pl/JavaTutorial,2018-05-01T15:57:21Z,6500,85
processing/processing,2013-01-24T21:17:22Z,6442,1
zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6374,0
