nameWithOwner,closedIssuesCount
academic/awesome-datascience,49
refined-github/refined-github,3691
balderdashy/sails,5869
onevcat/Kingfisher,1236
bilibili/flv.js,309
taosdata/TDengine,3397
RedisInsight/RedisDesktopManager,4497
YunaiV/ruoyi-vue-pro,302
mxgmn/WaveFunctionCollapse,46
libgdx/libgdx,3475
ChristosChristofidis/awesome-deep-learning,15
wangzheng0822/algo,22
facebookarchive/draft-js,978
redux-saga/redux-saga,1461
markerikson/react-redux-links,22
kriasoft/react-starter-kit,1186
javascript-tutorial/en.javascript.info,701
oldj/SwitchHosts,384
validatorjs/validator.js,865
ValveSoftware/Proton,3057
NvChad/NvChad,1489
jaredhanson/passport,428
tw93/Pake,248
sebastianruder/NLP-progress,65
alan2207/bulletproof-react,35
dracula/dracula-theme,691
Redocly/redoc,1468
BabylonJS/Babylon.js,2902
bazelbuild/bazel,11060
heyxyz/hey,1421
felixrieseberg/windows95,106
sunface/rust-course,136
jlmakes/scrollreveal,452
leereilly/games,87
awesome-foss/awesome-sysadmin,84
Polymer/polymer,3866
imDazui/Tvlist-awesome-m3u-m3u8,47
openfaas/faas,811
datasciencemasters/go,46
Asabeneh/30-Days-Of-React,17
ReactiveX/RxSwift,1204
localForage/localForage,503
telegramdesktop/tdesktop,12760
viatsko/awesome-vscode,26
angular/components,12878
CymChad/BaseRecyclerViewAdapterHelper,3181
matterport/Mask_RCNN,848
rome/tools,1353
withfig/autocomplete,372
Netflix/Hystrix,682
neoclide/coc.nvim,3265
inconshreveable/ngrok,618
TanStack/table,2182
hwdsl2/setup-ipsec-vpn,1397
mantinedev/mantine,2263
zloirock/core-js,895
zyedidia/micro,1366
heartcombo/devise,4050
utmapp/UTM,2028
mli/paper-reading,0
alibaba/flutter-go,0
gitlabhq/gitlabhq,0
upscayl/upscayl,544
outline/outline,2455
doczjs/docz,1138
syl20bnr/spacemacs,8258
goldbergyoni/javascript-testing-best-practices,15
kahun/awesome-sysadmin,28
pure-css/pure,571
locustio/locust,1554
svc-develop-team/so-vits-svc,109
AvaloniaUI/Avalonia,5116
VSCodium/vscodium,1048
android/architecture-components-samples,538
makeplane/plane,355
react-navigation/react-navigation,8647
ogham/exa,640
charmbracelet/bubbletea,196
zhayujie/chatgpt-on-wechat,1066
github/copilot-docs,0
dapr/dapr,3008
apache/skywalking,5064
vnpy/vnpy,2017
libuv/libuv,1547
eriklindernoren/ML-From-Scratch,37
grafana/k6,1324
refinedev/refine,1258
apache/flink,0
flameshot-org/flameshot,1797
fyne-io/fyne,1965
refined-github/refined-github,3691
kdeldycke/awesome-falsehood,26
element-plus/element-plus,4987
tinygrad/tinygrad,442
t3-oss/create-t3-app,548
Molunerfinn/PicGo,1077
ovity/octotree,737
gedoor/legado,2120
fouber/blog,5
ipfs/ipfs,213
XIU2/TrackersListCollection,0
javascript-tutorial/en.javascript.info,701
233boy/v2ray,1036
oldj/SwitchHosts,384
validatorjs/validator.js,865
trekhleb/homemade-machine-learning,14
Tencent/wepy,1797
Pythagora-io/gpt-pilot,156
rancher/rancher,30229
bitcoinbook/bitcoinbook,299
NickeManarin/ScreenToGif,698
t4t5/sweetalert,549
vuejs/vuepress,1433
norvig/pytudes,18
iced-rs/iced,753
badges/shields,2176
jenkinsci/jenkins,0
react-bootstrap/react-bootstrap,3363
recharts/recharts,2429
lensapp/lens,2448
medusajs/medusa,1335
facebook/flow,5292
jlmakes/scrollreveal,452
jquense/yup,1533
lobehub/lobe-chat,580
awesome-foss/awesome-sysadmin,84
facebook/zstd,1188
goharbor/harbor,10416
go-delve/delve,1533
MustangYM/WeChatExtension-ForMac,860
google/iosched,187
grafana/loki,3219
bevacqua/dragula,407
gabime/spdlog,1996
stretchr/testify,516
DataTalksClub/data-engineering-zoomcamp,123
arialdomartini/Back-End-Developer-Interview-Questions,14
tensorflow/tensor2tensor,672
joonspk-research/generative_agents,28
ramitsurana/awesome-kubernetes,200
upptime/upptime,209
lvgl/lvgl,2849
jonasschmedtmann/complete-javascript-course,58
ardalis/CleanArchitecture,155
mswjs/msw,910
vaxilu/x-ui,0
carlospolop/PEASS-ng,155
getsops/sops,408
vitalysim/Awesome-Hacking-Resources,16
browserify/browserify,1150
mockito/mockito,1241
charmbracelet/glow,128
thomaspark/bootswatch,859
ruanyf/free-books,20
Netflix/chaosmonkey,13
mayooear/gpt4-pdf-chatbot-langchain,271
angular-ui/bootstrap,4184
Tencent/QMUI_Android,708
tikv/tikv,3717
marcuswestin/WebViewJavascriptBridge,208
getgrav/grav,2609
w-okada/voice-changer,739
golangci/golangci-lint,1392
graphql/graphql-spec,354
jobbole/awesome-programming-books,10
