nameWithOwner,createdAt,stargazerCount,commitCount
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10463,0
OpenRefine/OpenRefine,2012-10-15T02:22:48Z,10419,714
google/auto,2013-05-22T21:41:56Z,10347,274
clojure/clojure,2010-06-29T20:03:33Z,10269,71
TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,10253,40
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10146,0
Activiti/Activiti,2012-09-13T11:34:43Z,9885,116
wasabeef/glide-transformations,2015-01-09T10:33:29Z,9863,0
asLody/VirtualApp,2016-07-06T13:25:23Z,9845,31
googlesamples/easypermissions,2015-12-22T18:05:53Z,9806,0
debezium/debezium,2016-01-22T20:17:05Z,9795,2090
jwtk/jjwt,2014-09-13T01:06:24Z,9793,77
HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9723,0
YoKeyword/Fragmentation,2016-02-23T08:54:55Z,9721,0
ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9658,0
hackware1993/MagicIndicator,2016-06-26T08:20:43Z,9645,0
react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9638,0
liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9597,0
lzyzsd/JsBridge,2015-02-26T12:10:58Z,9593,0
perwendel/spark,2011-05-05T11:52:05Z,9592,0
koral--/android-gif-drawable,2013-01-30T01:37:46Z,9502,5
bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9497,0
umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9491,0
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9486,0
MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9463,1
stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,9427,267
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0
apple/pkl,2024-01-19T17:28:45Z,9262,136
OpenFeign/feign,2013-06-26T23:28:16Z,9235,354
datahub-project/datahub,2015-11-18T05:47:40Z,9128,2275
Justson/AgentWeb,2017-05-12T07:45:56Z,9112,10
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0
android/testing-samples,2014-10-11T03:51:27Z,9093,21
