nameWithOwner,createdAt,stargazerCount,commitCount,CBO,DIT,LCOM,LOC
provectus/kafka-ui,2019-11-26T15:55:55Z,8348,374,0,0,0,1
react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,8346,63,64,17,691,12
apache/shenyu,2018-07-11T08:17:45Z,8264,598,19893,4123,55588,3338
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174,5005,1032,8923,815
LawnchairLauncher/lawnchair,2017-03-03T13:12:58Z,8240,6572,19808,3383,184259,2161
java-native-access/jna,2011-04-29T13:30:29Z,8230,73,11469,5979,105314,2355
florent37/MaterialViewPager,2015-04-24T17:53:15Z,8165,0,200,57,413,45
alibaba/atlas,2017-02-28T06:31:43Z,8115,0,12395,3143,65566,2195
checkstyle/checkstyle,2013-08-31T02:05:05Z,8103,1470,0,0,0,1
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53,1678,416,3789,275
guolindev/LitePal,2013-02-20T03:20:07Z,8066,0,1007,332,9939,202
Team-xManager/xManager,2021-02-08T11:31:10Z,7986,232,1031,630,6341,618
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0,1783,434,7674,306
alibaba/otter,2013-08-09T09:31:22Z,7947,2,5830,1783,42048,1297
JakeWharton/hugo,2013-11-25T09:16:40Z,7916,0,40,8,194,8
HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7869,0,180,71,353,67
ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7859,0,1545,805,30139,358
beemdevelopment/Aegis,2016-08-15T19:10:31Z,7854,154,3039,706,8971,412
karatelabs/karate,2017-02-07T15:59:17Z,7811,295,3472,675,65046,559
aritraroy/UltimateAndroidReference,2017-04-10T07:28:27Z,7803,0,1,1,0,2
dropwizard/metrics,2010-02-26T19:44:42Z,7794,381,3648,901,6376,674
Tencent/Hippy,2019-11-15T01:55:31Z,7787,754,4201,1166,74631,781
davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,7770,0,405,114,5740,73
